bucket,key,size_bytes,created,owner,policy_id
finance-bucket,hr-bucket/files/employee_1.docx,14041136697,2022-07-21T01:27:25Z,Sales,POL-SUP-1Y
finance-bucket,finance-bucket/reports/invoice_2.pdf,9045592426,2023-07-14T16:43:14Z,IT,POL-MKT-3Y
data-lake-bucket,analytics-bucket/raw/events_3.parquet,12454290491,2020-09-12T23:56:44Z,Support,POL-HR-5Y
engineering-bucket,marketing-bucket/assets/2023/brand_logo_4.png,7337401823,2025-08-02T05:21:47Z,Legal,POL-MKT-3Y
devops-bucket,legal-bucket/contracts/agreement_5.pdf,5076365683,2021-08-10T15:27:50Z,Operations,POL-HR-5Y
support-bucket,marketing-bucket/assets/2023/brand_logo_6.png,1314882184,2024-02-12T09:59:48Z,Marketing,POL-IT-5Y
marketing-bucket,engineering-bucket/builds/artifact_7.jar,17834298760,2024-01-03T01:03:00Z,IT,POL-FIN-7Y
legal-bucket,hr-bucket/files/employee_8.docx,3839051715,2023-10-11T21:47:21Z,Support,POL-MKT-3Y
analytics-bucket,sales-bucket/presentations/deck_9.pptx,1640106593,2021-01-17T15:47:53Z,Operations,POL-ANL-1Y
sales-bucket,engineering-bucket/builds/artifact_10.jar,7187149782,2021-04-17T14:08:36Z,HR,POL-MKT-3Y
analytics-bucket,support-bucket/tickets/case_11.json,10461761333,2023-11-26T00:39:22Z,Sales,POL-IT-5Y
hr-bucket,finance-bucket/reports/invoice_12.pdf,5000305564,2024-02-08T01:15:01Z,Legal,POL-MKT-3Y
marketing-bucket,hr-bucket/files/employee_13.docx,10904951040,2024-07-02T04:17:12Z,Legal,POL-LGL-7Y
engineering-bucket,engineering-bucket/builds/artifact_14.jar,13033566639,2021-08-12T09:48:30Z,Legal,POL-LGL-7Y
marketing-bucket,analytics-bucket/raw/events_15.parquet,13357300673,2022-01-05T04:02:49Z,Legal,POL-FIN-7Y
marketing-bucket,sales-bucket/presentations/deck_16.pptx,3337583190,2020-03-13T01:36:26Z,Finance,POL-IT-5Y
hr-bucket,engineering-bucket/builds/artifact_17.jar,14597265736,2024-05-30T01:18:12Z,HR,POL-SUP-1Y
devops-bucket,legal-bucket/contracts/agreement_18.pdf,11798496284,2021-09-28T00:27:52Z,Support,POL-FIN-7Y
devops-bucket,engineering-bucket/builds/artifact_19.jar,13138061221,2024-07-06T05:12:48Z,Analytics,POL-ENG-3Y
marketing-bucket,support-bucket/tickets/case_20.json,17082188552,2022-06-20T09:12:45Z,Engineering,POL-OPS-2Y
marketing-bucket,finance-bucket/reports/invoice_21.pdf,16331477467,2020-01-07T18:14:27Z,Marketing,POL-OPS-2Y
engineering-bucket,support-bucket/tickets/case_22.json,13238324488,2025-10-14T20:25:59Z,HR,POL-SAL-2Y
analytics-bucket,sales-bucket/presentations/deck_23.pptx,9837475710,2022-03-25T16:12:15Z,Sales,POL-OPS-2Y
hr-bucket,support-bucket/tickets/case_24.json,19746969027,2024-11-18T10:14:12Z,Marketing,POL-HR-5Y
finance-bucket,support-bucket/tickets/case_25.json,1112934564,2024-11-24T08:07:37Z,Marketing,POL-MKT-3Y
sales-bucket,engineering-bucket/builds/artifact_26.jar,13347330369,2025-04-13T03:14:32Z,Engineering,POL-SAL-2Y
marketing-bucket,hr-bucket/files/employee_27.docx,15281441090,2023-05-19T09:08:41Z,Marketing,POL-HR-5Y
legal-bucket,support-bucket/tickets/case_28.json,12779601672,2021-09-19T15:07:35Z,Operations,POL-ENG-3Y
analytics-bucket,hr-bucket/files/employee_29.docx,18364509697,2025-07-16T15:54:08Z,Engineering,POL-FIN-7Y
hr-bucket,hr-bucket/files/employee_30.docx,19043343426,2021-12-04T11:54:18Z,Engineering,POL-MKT-3Y
hr-bucket,analytics-bucket/raw/events_31.parquet,355061115,2024-10-10T17:14:31Z,Marketing,POL-FIN-7Y
hr-bucket,marketing-bucket/assets/2023/brand_logo_32.png,8633366232,2025-03-03T03:51:09Z,Engineering,POL-ANL-1Y
finance-bucket,finance-bucket/reports/invoice_33.pdf,19550224684,2023-03-21T04:01:45Z,Engineering,POL-SUP-1Y
engineering-bucket,marketing-bucket/assets/2023/brand_logo_34.png,13477410602,2024-08-06T10:05:50Z,Marketing,POL-IT-5Y
marketing-bucket,engineering-bucket/builds/artifact_35.jar,11422959666,2025-05-09T22:04:36Z,Support,POL-LGL-7Y
sales-bucket,analytics-bucket/raw/events_36.parquet,13476502673,2024-03-11T21:50:41Z,Analytics,POL-SAL-2Y
marketing-bucket,finance-bucket/reports/invoice_37.pdf,11330984119,2021-10-09T16:54:33Z,Sales,POL-ENG-3Y
support-bucket,finance-bucket/reports/invoice_38.pdf,7845817826,2023-04-24T07:27:13Z,Finance,POL-FIN-7Y
sales-bucket,analytics-bucket/raw/events_39.parquet,12421557744,2023-07-01T17:05:49Z,IT,POL-ENG-3Y
hr-bucket,hr-bucket/files/employee_40.docx,15389122161,2023-07-20T15:18:59Z,Support,POL-IT-5Y
hr-bucket,finance-bucket/reports/invoice_41.pdf,12455993975,2024-02-28T15:08:06Z,Marketing,POL-ENG-3Y
marketing-bucket,sales-bucket/presentations/deck_42.pptx,1800118925,2022-06-24T03:44:40Z,IT,POL-FIN-7Y
